Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,1.009143,1.011000,1.003472,1.009387,1.009387,0
2018-06-28,1.003200,1.004218,1.000931,1.003240,1.003240,0
2018-06-29,1.002546,1.008268,1.002275,1.002416,1.002416,0
2018-07-02,1.009826,1.009826,1.003613,1.009887,1.009887,0
2018-07-03,1.006674,1.008726,1.005167,1.006745,1.006745,0
2018-07-04,1.008065,1.009795,1.006178,1.008075,1.008075,0
2018-07-05,1.007658,1.009041,1.006107,1.007861,1.007861,0
2018-07-06,1.006948,1.011685,1.005702,1.007049,1.007049,0
2018-07-09,1.010816,1.014507,1.008065,1.010918,1.010918,0
2018-07-10,1.008797,1.009285,1.003915,1.008695,1.008695,0
2018-07-11,1.007475,1.009520,1.004985,1.007526,1.007526,0
2018-07-12,1.004510,1.005227,0.997815,1.004419,1.004419,0
2018-07-13,0.997188,0.998602,0.993354,0.997307,0.997307,0
2018-07-16,0.997825,1.003744,0.997666,0.997825,0.997825,0
2018-07-17,1.003291,1.007252,1.000851,1.003240,1.003240,0
2018-07-18,0.999730,1.001603,0.996612,0.999720,0.999720,0
2018-07-19,1.001502,1.002104,0.995808,1.001402,1.001402,0
2018-07-20,1.001302,1.006340,0.999041,1.001262,1.001262,0
2018-07-23,1.009204,1.010203,1.007090,1.009214,1.009214,0
2018-07-24,1.007151,1.008065,1.004621,1.006847,1.006847,0
2018-07-25,1.006847,1.009285,1.005268,1.006745,1.006745,0
2018-07-26,1.009285,1.009999,1.006087,1.009102,1.009102,0
2018-07-27,1.006137,1.007049,1.002285,1.006016,1.006016,0
2018-07-30,1.006036,1.012218,1.004470,1.006056,1.006056,0
2018-07-31,1.012054,1.013407,1.009764,1.012064,1.012064,0
2018-08-01,1.009815,1.009999,1.006735,1.009795,1.009795,0
2018-08-02,1.008471,1.008573,1.005227,1.008390,1.008390,0
2018-08-03,1.004530,1.007963,1.003563,1.004621,1.004621,0
2018-08-06,1.005530,1.005935,1.001623,1.005632,1.005632,0
2018-08-07,1.003814,1.007049,1.003311,1.003694,1.003694,0
2018-08-08,1.004783,1.006441,1.003100,1.005025,1.005025,0
2018-08-09,1.006847,1.010642,1.005106,1.006948,1.006948,0
2018-08-10,1.006087,1.007232,1.002607,1.006067,1.006067,0
2018-08-13,1.005733,1.007963,1.004813,1.005429,1.005429,0
2018-08-14,1.006624,1.009999,1.005632,1.006847,1.006847,0
2018-08-15,1.006036,1.006218,1.001843,1.005925,1.005925,0
2018-08-16,1.006694,1.008502,1.003865,1.006948,1.006948,0
