Index,ClosingPrice,Prediction,Outcome,ConsecutiveLosses
1557,1.018019,Neutral,Neutral,
1558,1.00899,Neutral,Neutral,
1559,1.003522,Neutral,Neutral,
1560,0.993947,Neutral,Neutral,
1561,0.996691,Negative,Loss,3
1562,0.99691,Negative,Loss,4
1563,0.997128,Neutral,Neutral,
1564,0.993868,Neutral,Neutral,
1565,1.001402,Neutral,Neutral,
1566,1.002506,Positive,Win,0
1567,1.003905,Positive,Loss,1
1568,0.995233,Positive,Loss,2
1569,0.990943,Neutral,Neutral,
1570,0.995223,Neutral,Neutral,
1571,0.989795,Neutral,Neutral,
1572,0.99957,Negative,Loss,3
1573,1.001202,Neutral,Neutral,
1574,1.007141,Positive,Win,0
1575,1.012956,Positive,Loss,1
1576,0.998203,Positive,Win,0
1577,0.998403,Neutral,Neutral,
1578,0.998831,Neutral,Neutral,
1579,1.002235,Neutral,Neutral,
1580,1.002959,Neutral,Neutral,
1581,0.997079,Positive,Loss,1
1582,0.983072,Neutral,Neutral,
1583,0.984155,Neutral,Neutral,
1584,0.968992,Neutral,Neutral,
1585,0.962371,Negative,Win,0
1586,0.959619,Negative,Loss,1
1587,0.970817,Negative,Loss,2
1588,0.982956,Neutral,Neutral,
1589,0.979269,Neutral,Neutral,
1590,0.983207,Neutral,Neutral,
1591,0.998432,Positive,Loss,3
1592,0.9911,Positive,Loss,4
1593,0.978905,Neutral,Neutral,
1594,0.973501,Neutral,Neutral,
1595,0.971006,Negative,Win,0
1596,0.970017,Negative,Loss,1
1597,0.970798,Negative,Loss,2
1598,0.975134,Negative,Win,0
1599,0.973937,Neutral,Neutral,
1600,0.98464,Neutral,Neutral,
1601,0.986388,Positive,Loss,1
1602,0.976648,Positive,Win,0
1603,0.97789,Neutral,Neutral,
1604,0.986009,Neutral,Neutral,
1605,0.98865,Neutral,Neutral,
1606,0.996373,Positive,Win,0
1607,1.009194,Positive,Loss,1
1608,0.99678,Positive,Loss,2
1609,0.9955,Neutral,Neutral,
1610,0.988631,Neutral,Neutral,
1611,0.987791,Negative,Win,0
1612,0.981441,Negative,Win,0
1613,0.974963,Negative,Loss,1
1614,0.992881,Negative,Loss,2
1615,1.001863,Neutral,Neutral,
1616,1.008085,Neutral,Neutral,
1617,1.001954,Positive,Win,0
1618,1.019222,Positive,Win,0
1619,1.032855,Positive,Loss,1
1620,1.031928,Positive,Win,0
1621,1.035786,Neutral,Neutral,
1622,1.039501,Positive,Loss,1
1623,1.036173,Positive,Loss,2
1624,1.03309,Neutral,Neutral,
1625,1.024569,Neutral,Neutral,
1626,1.031109,Negative,Loss,3
1627,1.041623,Negative,Win,0
1628,1.04081,Neutral,Neutral,
1629,1.036753,Neutral,Neutral,
1630,1.034554,Neutral,Neutral,
1631,1.03245,Negative,Loss,1
1632,1.042535,Negative,Loss,2
1633,1.052842,Neutral,Neutral,
1634,1.054419,Neutral,Neutral,
1635,1.049692,Positive,Loss,3
1636,1.046901,Positive,Win,0
1637,1.051326,Neutral,Neutral,
1638,1.055966,Neutral,Neutral,
1639,1.052222,Neutral,Neutral,
1640,1.054174,Neutral,Neutral,
1641,1.062665,Positive,Win,0
1642,1.067635,Positive,Loss,1
1643,1.064056,Positive,Loss,2
1644,1.058504,Positive,Win,0
1645,1.061458,Neutral,Neutral,
1646,1.062699,Neutral,Neutral,
1647,1.061008,Neutral,Neutral,
1648,1.060333,Neutral,Neutral,
1649,1.06678,Neutral,Neutral,
1650,1.064022,Neutral,Neutral,
1651,1.063717,Neutral,Neutral,
1652,1.062925,Neutral,Neutral,
1653,1.066075,Neutral,Neutral,
1654,1.070973,Neutral,Neutral,
1655,1.067771,Neutral,Neutral,
1656,1.054685,Neutral,Neutral,
1657,1.060637,Neutral,Neutral,
1658,1.052222,Neutral,Neutral,
1659,1.065632,Negative,Loss,1
1660,1.073318,Neutral,Neutral,
1661,1.073895,Positive,Win,0
1662,1.0766,Positive,Win,0
1663,1.086024,Positive,Loss,1
1664,1.082462,Positive,Win,0
1665,1.083013,Positive,Loss,1
1666,1.079331,Positive,Win,0
1667,1.079785,Neutral,Neutral,
1668,1.083388,Neutral,Neutral,
1669,1.086508,Positive,Win,0
1670,1.087429,Positive,Win,0
1671,1.088815,Positive,Win,0
1672,1.092204,Positive,Loss,1
1673,1.089443,Positive,Loss,2
1674,1.087146,Neutral,Neutral,
1675,1.085069,Neutral,Neutral,
1676,1.086095,Negative,Loss,3
1677,1.101285,Negative,Win,0
1678,1.090513,Neutral,Neutral,
1679,1.079086,Neutral,Neutral,
1680,1.073076,Neutral,Neutral,
1681,1.072973,Negative,Win,0
1682,1.071582,Negative,Loss,1
1683,1.074229,Negative,Win,0
1684,1.067771,Neutral,Neutral,
1685,1.073042,Negative,Loss,1
1686,1.073572,Neutral,Neutral,
1687,1.069176,Positive,Loss,2
1688,1.066576,Neutral,Neutral,
1689,1.068444,Neutral,Neutral,
1690,1.068262,Neutral,Neutral,
1691,1.065201,Negative,Win,0
1692,1.06058,Negative,Win,0
1693,1.059805,Negative,Win,0
1694,1.055476,Negative,Loss,1
1695,1.061121,Negative,Win,0
1696,1.057731,Neutral,Neutral,
1697,1.066894,Negative,Win,0
1698,1.059973,Neutral,Neutral,
1699,1.06262,Neutral,Neutral,
1700,1.068833,Neutral,Neutral,
1701,1.055075,Positive,Loss,1
1702,1.054953,Neutral,Neutral,
1703,1.05847,Neutral,Neutral,
1704,1.068365,Neutral,Neutral,
1705,1.072501,Neutral,Neutral,
1706,1.072766,Positive,Loss,2
1707,1.058335,Positive,Win,0
1708,1.061413,Neutral,Neutral,
1709,1.067886,Neutral,Neutral,
1710,1.071915,Neutral,Neutral,
1711,1.077424,Positive,Win,0
1712,1.087039,Positive,Loss,1
1713,1.083506,Positive,Loss,2
1714,1.077819,Positive,Win,0
1715,1.080707,Neutral,Neutral,
1716,1.083952,Neutral,Neutral,
1717,1.084363,Neutral,Neutral,
1718,1.090465,Positive,Loss,1
1719,1.080334,Positive,Win,0
1720,1.091227,Neutral,Neutral,
1721,1.096011,Positive,Loss,1
1722,1.090334,Positive,Win,0
1723,1.092013,Neutral,Neutral,
1724,1.091358,Positive,Loss,1
1725,1.086933,Neutral,Neutral,
1726,1.091751,Negative,Loss,2
1727,1.099989,Neutral,Neutral,
1728,1.105461,Neutral,Neutral,
1729,1.09866,Positive,Loss,3
1730,1.092538,Positive,Win,0
1731,1.097538,Neutral,Neutral,
1732,1.095218,Neutral,Neutral,
1733,1.097093,Negative,Loss,1
1734,1.099227,Neutral,Neutral,
1735,1.10595,Positive,Loss,2
1736,1.097839,Positive,Win,0
1737,1.104728,Neutral,Neutral,
1738,1.103205,Positive,Loss,1
1739,1.101091,Neutral,Neutral,
1740,1.096924,Negative,Loss,2
1741,1.101091,Negative,Loss,3
1742,1.106893,Negative,Win,0
1743,1.102293,Neutral,Neutral,
1744,1.101868,Neutral,Neutral,
1745,1.099614,Neutral,Neutral,
1746,1.096467,Negative,Loss,1
1747,1.098406,Negative,Win,0
1748,1.091215,Negative,Win,0
1749,1.08527,Negative,Loss,1
1750,1.08737,Negative,Win,0
1751,1.086567,Neutral,Neutral,
1752,1.083835,Negative,Win,0
1753,1.07754,Negative,Loss,1
1754,1.082275,Negative,Win,0
1755,1.081105,Negative,Win,0
1756,1.076971,Negative,Win,0
1757,1.075732,Negative,Win,0
1758,1.072444,Negative,Win,0
1759,1.072306,Negative,Win,0
1760,1.070767,Negative,Loss,1
1761,1.073307,Negative,Win,0
1762,1.069519,Neutral,Neutral,
1763,1.076079,Negative,Win,0
1764,1.069862,Neutral,Neutral,
1765,1.07118,Neutral,Neutral,
1766,1.069805,Neutral,Neutral,
1767,1.070744,Neutral,Neutral,
1768,1.078272,Neutral,Neutral,
1769,1.075095,Positive,Win,0
1770,1.076299,Neutral,Neutral,
1771,1.078935,Positive,Win,0
1772,1.084305,Positive,Win,0
1773,1.094595,Positive,Loss,1
1774,1.094212,Positive,Loss,2
1775,1.09243,Positive,Loss,3
1776,1.092037,Neutral,Neutral,
1777,1.099264,Neutral,Neutral,
